"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"257" "C0270327" "manuel_jdz1" NA NA NA "0" NA
"258" "C0332798" "manuel_jdz1" NA NA NA "0" NA
"259" "C0678236" "manuel_jdz1" NA NA NA "0" NA
"260" "C0700361" "manuel_jdz1" NA NA NA "0" NA
"2611" "C0877008" "manuel_jdz1" NA NA NA "0" NA
"262" "C1527311" "manuel_jdz1" NA NA NA "0" NA
"265" "C3178781" "manuel_jdz1" NA NA NA "0" NA
"266" "C1998242" "manuel_jdz1" NA NA NA "0" NA
"267" "C0004368" "manuel_jdz1" NA NA NA "0" NA
"268" "C0009492" "manuel_jdz1" NA NA NA "0" NA
"269" "C0012739" "manuel_jdz1" NA NA NA "0" NA
"2711" "C0014009" "manuel_jdz1" NA NA NA "0" NA
"272" "C0020488" "manuel_jdz1" NA NA NA "0" NA
"273" "C0039504" "manuel_jdz1" NA NA NA "0" NA
"275" "C0231807" "manuel_jdz1" NA NA NA "0" NA
"276" "C0333262" "manuel_jdz1" NA NA NA "0" NA
"277" "C0449430" "manuel_jdz1" NA NA NA "0" NA
"278" "C0677660" "manuel_jdz1" NA NA NA "0" NA
"279" "C0949177" "manuel_jdz1" NA NA NA "0" NA
"280" "C1291077" "manuel_jdz1" NA NA NA "0" NA
"2811" "C1313952" "manuel_jdz1" NA NA NA "0" NA
"282" "C2349423" "manuel_jdz1" NA NA NA "0" NA
"283" "C1838069" "manuel_jdz1" NA NA NA "18" NA
"2911" "C1561642" "manuel_jdz1" NA NA NA "19" NA
"295" "C2874046" "manuel_jdz1" NA NA NA "19" NA
"297" "C0018802" "manuel_jdz2" NA NA NA "0" NA
"298" "C0007222" "manuel_jdz2" NA NA NA "0" NA
"299" "C0038454" "manuel_jdz2" NA NA NA "13" NA
"300" "C0018801" "manuel_jdz2" NA NA NA "0" NA
"3011" "C0035078" "manuel_jdz2" NA NA NA "0" NA
"306" "C0683278" "manuel_jdz2" NA NA NA "0" NA
"307" "C0004936" "manuel_jdz2" NA NA NA "0" NA
"308" "C0150055" "manuel_jdz2" NA NA NA "0" NA
"309" "C0018799" "manuel_jdz2" NA NA NA "0" NA
"3101" "C1306597" "manuel_jdz2" NA NA NA "0" NA
"3111" "C0039082" "manuel_jdz2" NA NA NA "0" NA
"312" "C0876926" "manuel_jdz2" NA NA NA "0" NA
"314" "C0036572" "manuel_jdz2" NA NA NA "0" NA
"315" "C0577573" "manuel_jdz2" NA NA NA "0" NA
"316" "C0037929" "manuel_jdz2" NA NA NA "0" NA
"317" "C0242606" "manuel_jdz2" NA NA NA "0" NA
"318" "C0948008" "manuel_jdz2" NA NA NA "13" NA
"319" "C3272363" "manuel_jdz2" NA NA NA "13" NA
"320" "C0085580" "manuel_jdz2" NA NA NA "0" NA
"3211" "C0243026" "manuel_jdz2" NA NA NA "0" NA
"322" "C0036690" "manuel_jdz2" NA NA NA "0" NA
"323" "C0035242" "manuel_jdz2" NA NA NA "0" NA
"324" "C0043251" "manuel_jdz2" NA NA NA "0" NA
"326" "C0338656" "manuel_jdz2" NA NA NA "0" NA
"327" "C0020517" "manuel_jdz2" NA NA NA "0" NA
"328" "C0004623" "manuel_jdz2" NA NA NA "0" NA
"329" "C0920563" "manuel_jdz2" NA NA NA "0" NA
"330" "C0332448" "manuel_jdz2" NA NA NA "0" NA
"3311" "C1559154" "manuel_jdz2" NA NA NA "28" NA
"332" "C0018790" "manuel_jdz2" NA NA NA "0" NA
"333" "C0006434" "manuel_jdz2" NA NA NA "28" NA
"334" "C0332803" "manuel_jdz2" NA NA NA "0" NA
"335" "C0035222" "manuel_jdz2" NA NA NA "0" NA
"336" "C3542022" "manuel_jdz2" NA NA NA "0" NA
"337" "C0020456" "manuel_jdz2" NA NA NA "19" NA
"339" "C0751956" "manuel_jdz2" NA NA NA "13" NA
"340" "C0021053" "manuel_jdz2" NA NA NA "0" NA
"342" "C0684336" "manuel_jdz2" NA NA NA "0" NA
"343" "C1373218" "manuel_jdz2" NA NA NA "0" NA
"344" "C0022660" "manuel_jdz2" NA NA NA "0" NA
"345" "C0599156" "manuel_jdz2" NA NA NA "0" NA
"346" "C0007789" "manuel_jdz2" NA NA NA "0" NA
"347" "C1145670" "manuel_jdz2" NA NA NA "0" NA
"348" "C0242184" "manuel_jdz2" NA NA NA "0" NA
"350" "C0036974" "manuel_jdz2" NA NA NA "0" NA
"352" "C0036983" "manuel_jdz2" NA NA NA "0" NA
"353" "C0042024" "manuel_jdz2" NA NA NA "0" NA
"354" "C3163620" "manuel_jdz2" NA NA NA "0" NA
"355" "C0043246" "manuel_jdz2" NA NA NA "0" NA
"356" "C0184567" "manuel_jdz2" NA NA NA "0" NA
"357" "C1510420" "manuel_jdz2" NA NA NA "0" NA
"358" "C0700198" "manuel_jdz2" NA NA NA "0" NA
"359" "C3539909" "manuel_jdz2" NA NA NA "0" NA
"360" "C0413252" "manuel_jdz2" NA NA NA "0" NA
"362" "C0011884" "manuel_jdz2" NA NA NA "0" NA
"363" "C0520904" "manuel_jdz2" NA NA NA "0" NA
"364" "C0016059" "manuel_jdz2" NA NA NA "0" NA
"365" "C0026838" "manuel_jdz2" NA NA NA "0" NA
"366" "C0034065" "manuel_jdz2" NA NA NA "0" NA
"367" "C0013404" "manuel_jdz2" NA NA NA "0" NA
"368" "C2609414" "manuel_jdz2" NA NA NA "0" NA
"369" "C2729169" "manuel_jdz2" NA NA NA "0" NA
"370" "C0018482" "manuel_jdz2" NA NA NA "0" NA
"3711" "C1719672" "manuel_jdz2" NA NA NA "0" NA
"372" "C3668885" "manuel_jdz2" NA NA NA "0" NA
"373" "C0087086" "manuel_jdz2" NA NA NA "0" NA
"374" "C0700323" "manuel_jdz2" NA NA NA "0" NA
"375" "C0010200" "manuel_jdz2" NA NA NA "0" NA
"376" "C0085281" "manuel_jdz2" NA NA NA "18" NA
"377" "C0085281" "manuel_jdz2" NA NA NA "18" NA
